provincia,partido,localidad,poblacion,adsl,cablemodem,dial_up,fibra_optica,satelital,wireless,telefonia_fija,3g,4g,link_indec,latitud,longitud
buenos_aires,general_san_martin,villa_ballester,36272,SI,SI,SI,SI,NO,SI,SI,SI,SI,6371010,-34.5422846822324,-58.5583177179822
buenos_aires,general_san_martin,villa_bernardo_monteagudo,8519,NO,SI,NO,SI,NO,NO,NO,SI,SI,6371010,-34.5905899097986,-58.5396606594168
buenos_aires,general_san_martin,villa_chacabuco,5179,NO,SI,NO,SI,NO,NO,NO,SI,SI,6371010,-34.5796744853293,-58.523036970803
buenos_aires,general_san_martin,villa_coronel_jose_m_zapiola,22369,NO,SI,NO,SI,NO,NO,NO,SI,SI,6371010,-34.5595169115142,-58.5772769308184
buenos_aires,general_san_martin,villa_general_antonio_j_de_sucre,6311,NO,SI,NO,SI,NO,NO,NO,SI,SI,6371010,-34.5470506011052,-58.5694391894093
la_rioja,castro_barros,santa_vera_cruz,123,NO,NO,NO,NO,NO,SI,NO,NO,NO,46021080,-28.683504219205,-66.9654939868506
buenos_aires,tigre,el_talar,54374,SI,SI,NO,SI,NO,SI,SI,SI,SI,6805010,-34.4713213368481,-58.6570301927479
buenos_aires,tigre,general_pacheco,54208,SI,SI,NO,SI,SI,SI,SI,SI,SI,6805010,-34.4523088119909,-58.6448936162046
buenos_aires,tigre,los_troncos_del_talar,37016,SI,SI,NO,SI,SI,NO,SI,SI,SI,6805010,-34.4425672031974,-58.6174364127772
buenos_aires,tigre,nordelta,0,NO,SI,NO,SI,NO,NO,SI,SI,SI,6805010,-34.4065916,-58.6712671
buenos_aires,tigre,ricardo_rojas,24410,SI,SI,NO,SI,NO,NO,SI,SI,SI,6805010,-34.4563339674448,-58.6806670320976
buenos_aires,tigre,rincon_de_milberg,34588,SI,SI,NO,SI,NO,SI,SI,SI,SI,6805010,-34.4097532043357,-58.6304827023614
caba,comuna_10,monte_castro,33623,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6192974826904,-58.5065803391285
cordoba,san_justo,devoto,6057,SI,NO,NO,SI,NO,NO,SI,SI,SI,14140160,-31.403980918137,-62.3061393858824
cordoba,san_justo,el_aranado,1746,NO,SI,NO,NO,SI,SI,SI,SI,SI,14140170,-31.7412330671687,-62.8933443705701
cordoba,san_justo,el_fortin,1648,NO,SI,NO,NO,NO,SI,SI,SI,SI,14140180,-31.9672502352148,-62.3026285942112
cordoba,san_justo,el_fuertecito,297,NO,SI,NO,SI,NO,SI,SI,NO,SI,14140190,-31.4039349300198,-62.9733657676524
cordoba,san_justo,el_tio,1903,SI,SI,NO,SI,NO,SI,SI,SI,SI,14140200,-31.3845486215618,-62.8284737646901
cordoba,san_justo,estacion_luxardo,105,NO,NO,NO,NO,NO,SI,NO,SI,NO,14140210,-31.3047488843392,-62.1333023360613
cordoba,san_justo,freyre,6620,SI,SI,NO,SI,NO,SI,SI,SI,SI,14140220,-31.1647319320813,-62.0976333908888
cordoba,san_justo,la_francia,3720,SI,NO,NO,SI,NO,SI,SI,SI,SI,14140230,-31.406437919327,-62.6343581010891
cordoba,san_justo,la_paquita,947,SI,NO,NO,NO,NO,SI,NO,NO,NO,14140240,-30.9070545771133,-62.2154361817056
cordoba,san_justo,la_tordilla,1257,SI,NO,NO,NO,NO,SI,SI,SI,SI,14140250,-31.2352452196552,-63.0599042713799
cordoba,san_justo,las_varas,1320,NO,NO,NO,SI,NO,NO,SI,SI,SI,14140260,-31.801292158779,-62.6171047243489
cordoba,san_justo,las_varillas,16238,SI,NO,NO,SI,SI,NO,SI,SI,SI,14140270,-31.8731135581313,-62.7187948274612
cordoba,san_justo,marull,1791,NO,NO,NO,SI,SI,SI,SI,SI,SI,14140280,-30.9945226321227,-62.8258401081139
cordoba,san_justo,miramar,2023,NO,SI,NO,NO,NO,SI,SI,SI,SI,14140290,-30.9145163516027,-62.6749183796469
cordoba,san_justo,morteros,16890,SI,NO,NO,SI,NO,NO,SI,SI,SI,14140300,-30.7107058083835,-62.0044437379159
cordoba,san_justo,plaza_luxardo,90,NO,NO,NO,NO,NO,SI,NO,NO,NO,14140310,-31.301747140591,-62.2291672872465
cordoba,san_justo,plaza_san_francisco,284,NO,NO,NO,NO,NO,SI,NO,NO,SI,14140320,-31.3698057980989,-62.0980386090508
la_pampa,toay,toay,11626,SI,SI,NO,SI,SI,SI,SI,SI,SI,42140020,-36.6751577652887,-64.3803253806581
la_pampa,trenel,arata,1026,NO,NO,NO,SI,SI,SI,SI,SI,SI,42147010,-35.6381231858073,-64.3574125644643
la_pampa,trenel,metileo,483,NO,NO,NO,NO,SI,SI,SI,SI,SI,42147020,-35.7732438729278,-63.9428308886673
la_pampa,trenel,trenel,3387,SI,NO,NO,SI,SI,SI,SI,SI,SI,42147030,-35.6941743318846,-64.1358999676104
la_pampa,utracan,ataliva_roca,707,NO,NO,NO,SI,SI,SI,SI,SI,SI,42154010,-37.0323315728651,-64.2865724433513
la_pampa,utracan,chacharramendi,226,NO,NO,NO,NO,SI,SI,SI,NO,SI,42154020,-37.3318147762102,-65.650772794634
la_pampa,utracan,colonia_santa_maria,289,NO,NO,SI,SI,NO,SI,SI,NO,NO,42154030,-37.4952435783299,-64.2248805481774
la_pampa,utracan,general_acha,12184,SI,SI,NO,SI,SI,SI,SI,SI,SI,42154040,-37.373672668717,-64.6038964711256
la_pampa,utracan,quehue,422,NO,NO,NO,SI,SI,SI,SI,NO,NO,42154050,-37.1212005028742,-64.5133661628312
la_pampa,utracan,unanue,69,NO,NO,NO,SI,NO,SI,NO,NO,NO,42154060,-37.5439767222425,-64.3525554864311
la_rioja,chamical,chamical,12919,SI,SI,NO,SI,SI,SI,SI,SI,SI,46035010,-30.3772951613356,-66.3240368838483
la_rioja,chamical,polco,80,NO,NO,NO,NO,NO,NO,NO,NO,NO,46035020,-30.4293153810224,-66.3586422456665
la_rioja,chilecito,anguinan,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042030,-29.2060142258143,-67.4589845307511
la_rioja,chilecito,chilecito,33724,SI,SI,NO,SI,NO,SI,SI,SI,SI,46042010,-29.1634978575196,-67.5074284990176
la_rioja,chilecito,colonia_anguinan,225,NO,SI,NO,SI,NO,SI,SI,NO,NO,46042020,-29.2540980171571,-67.426136513409
la_rioja,chilecito,colonia_catinzaco,33,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042030,-29.6731660020358,-67.3823669132229
la_rioja,chilecito,colonia_malligasta,482,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042040,-29.2029666175252,-67.4003467202303
la_rioja,chilecito,colonia_vichigasta,272,NO,NO,NO,NO,SI,NO,NO,NO,NO,46042050,-29.4490716382323,-67.4914198732182
la_rioja,chilecito,guanchin,284,NO,NO,NO,NO,NO,SI,NO,NO,NO,46042060,-29.1927256872976,-67.6392754274079
la_rioja,chilecito,la_puntilla,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042030,-29.1484698105368,-67.4191244361359
la_rioja,chilecito,los_sarmientos,0,NO,NO,NO,NO,NO,NO,NO,NO,SI,46042030,-29.1517467165263,-67.4826010369502
la_rioja,chilecito,malligasta,1668,NO,NO,NO,NO,NO,SI,SI,NO,NO,46042070,-29.1772024890585,-67.4408316312776
la_rioja,chilecito,miranda,171,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042080,-29.3410380679447,-67.6618699588305
la_rioja,chilecito,nonogasta,6937,SI,SI,NO,SI,SI,SI,SI,SI,SI,46042090,-29.3040959439682,-67.5072784622018
la_rioja,chilecito,san_miguel,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,46042030,-29.184674818415,-67.4780826682806
la_rioja,chilecito,san_nicolas,153,NO,NO,NO,NO,NO,SI,NO,NO,NO,46042100,-29.1217634888802,-67.475895961327
la_rioja,chilecito,santa_florentina,129,NO,NO,NO,NO,NO,SI,NO,NO,NO,46042110,-29.1330615805931,-67.5576081781931
la_rioja,chilecito,sanogasta,1805,NO,NO,NO,NO,NO,SI,SI,SI,NO,46042120,-29.3203738957214,-67.6277959527272
la_rioja,chilecito,tilimuqui,279,NO,NO,NO,NO,NO,SI,NO,NO,NO,46042130,-29.1494438672162,-67.4296645756575
salta,anta,rio_del_valle,758,NO,NO,NO,NO,SI,SI,NO,NO,NO,66007150,-24.6839685116395,-64.2017888257331
salta,anta,tolloche,197,NO,NO,NO,SI,NO,NO,NO,NO,SI,66007160,-25.5466456710139,-63.5342918601747
salta,cachi,cachi,2616,NO,NO,NO,SI,SI,SI,SI,SI,SI,66014010,-25.1201640072396,-66.1679494412163
salta,cachi,payogasta,532,NO,NO,NO,NO,NO,SI,SI,NO,SI,66014020,-25.0489479804199,-66.1027102397315
salta,cafayate,cafayate,13698,SI,NO,NO,SI,SI,SI,SI,SI,SI,66021010,-26.0765384358548,-65.9862897320293
salta,cafayate,tolombon,300,NO,NO,NO,NO,NO,SI,NO,NO,SI,66021020,-26.2029574679842,-65.9467957704698
salta,capital,atocha,730,NO,NO,NO,SI,NO,SI,NO,SI,SI,66028010,-24.8166716062155,-65.4787180407276
salta,capital,el_tipal__la_almudena,0,NO,NO,NO,NO,SI,SI,NO,SI,SI,66028010,-24.7589,-65.4719
salta,capital,la_cienaga_y_barrio_san_rafael,5342,NO,NO,NO,NO,NO,SI,NO,NO,NO,66028030,-24.8,-65.4833
salta,capital,las_costas,442,NO,NO,NO,NO,NO,SI,NO,SI,NO,66028040,-24.7690498139422,-65.4860333610823
salta,capital,salta,520683,SI,SI,SI,SI,SI,SI,SI,SI,SI,66028050,-24.7823766403156,-65.4141329991055
salta,capital,villa_san_lorenzo,7004,SI,SI,NO,SI,SI,SI,SI,SI,SI,66028060,-24.7333009865645,-65.4847891426227
salta,cerrillos,barrio_el_congreso,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,66035030,-24.8774314408788,-65.478464215737
santa_fe,belgrano,las_parejas,12375,SI,NO,NO,SI,NO,SI,SI,SI,SI,82007030,-32.6826842550048,-61.5185798347876
santa_fe,belgrano,las_rosas,13068,SI,SI,NO,SI,NO,SI,SI,SI,SI,82007040,-32.4785768176046,-61.5748036822531
santa_fe,belgrano,montes_de_oca,2655,SI,NO,NO,SI,SI,SI,SI,NO,NO,82007050,-32.567997020224,-61.7680762352029
santa_fe,belgrano,tortugas,2234,SI,SI,NO,NO,SI,NO,SI,SI,SI,82007060,-32.7482982621557,-61.8203359267394
santa_fe,caseros,arequito,6533,SI,SI,NO,NO,NO,SI,SI,SI,SI,82014010,-33.1483008378636,-61.4713349349693
santa_fe,caseros,arteaga,3089,SI,SI,NO,NO,NO,SI,SI,SI,SI,82014020,-33.0911311154911,-61.7917113876172
santa_fe,caseros,beravebu,2225,NO,NO,NO,NO,NO,SI,SI,SI,SI,82014030,-33.3414152210784,-61.8622809808056
santa_fe,caseros,bigand,4939,SI,SI,NO,NO,NO,SI,SI,SI,SI,82014040,-33.3761183026397,-61.185501310201
santa_fe,caseros,casilda,34703,SI,SI,NO,SI,NO,SI,SI,SI,SI,82014050,-33.0424955546762,-61.1693311184421
santa_fe,caseros,chabas,6871,SI,NO,NO,SI,NO,SI,SI,SI,SI,82014060,-33.2470674643201,-61.3575935561826
santa_fe,san_jeronimo,san_fabian,820,SI,SI,NO,NO,NO,SI,SI,NO,NO,82105230,-32.1383718722873,-60.9832660246346
